Images,REQ_SCORE,No. Of Matches_req,LL,UL,White with color,Limit
battery_symbol.jpg,700,1,2.5,20,FALSE,60
bluetooth.jpg,700,1,2.5,20,FALSE,60
bottom_symbol.jpg,700,1,2.5,20,TRUE,45000
Charging_ocr.jpg,700,1,2.5,20,FALSE,60
High_beam.jpg,700,1,2.5,20,FALSE,60
hillhold.jpg,650,1,2.5,20,FALSE,60
left_arc.jpg,700,1,2.5,20,FALSE,80
left_dail_strings.jpg,700,1,120,180,TRUE,7000
left_orange_arc.jpg,700,1,2.5,20,FALSE,80
Motor_and_indicators.jpg,700,1,2.5,20,FALSE,60
orange_icons.jpg,700,1,2.5,20,FALSE,60
Plug_lock.jpg,700,1,2.5,20,FALSE,60
red_symbols.jpg,700,1,2.5,20,FALSE,60
Regen.jpg,700,1,2.5,20,FALSE,60
Ride.jpg,700,1,2.5,20,FALSE,60
Right_arc.jpg,700,1,2.5,20,FALSE,80
right_blue_boxes.jpg,700,1,120,170,TRUE,4000
Right_orange_arc.jpg,700,1,2.5,20,FALSE,80
Sleepmode.jpg,700,1,2.5,20,FALSE,60
warning_red.jpg,700,1,2.5,20,FALSE,60
