Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,
,,,,,,
Summary,,,,,,
Serial Number,,,,,,
Configuration Name,DTU_EOL_RX,,,,,
River EOL Doc version,,,,,,
Date,22-07-2026_15-31-38,,,,,
Operator,Admin,,,,,
DUT,2,,,,,
Cycle time,11.29,,,,,
Overall Results,Aborted,,,,,
,,,,,,
Results,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT
Signal connector J9 impedence check,Config_DMM_RES,,,,,
Signal connector J9 impedence check,Turn_ON CAN_H & CAN_L Relays,,,,,
Signal connector J9 impedence check,Read RES CAN_H & CAN_L,117.00,121.39,123.00,Pass,ohm
Signal connector J9 impedence check,Turn OFF CAN_H & CAN_L Relays,,,,,
Power ON Test,Set_14V_PS,,,,,
